Luna,Delivici,luna34,4382232715,lollipop@gmail.com,genielog,70 rue Rembouillet,Montréal,h9n3r5,QC,Canada
Felix,Bredon,fbredon,4387052715,chien45@gmail.com,jaimeleschiens,71 rue Rembouillet,Montréal,h9n3r7,QC,Canada
Henri,Dublin,henry420,4384262015,doudou@gmail.com,catlover,73 rue Rembouillet,Montréal,h9n4m8,QC,Canada
Clémentine,Prairie,cloclorange,4521223715,popo@gmail.com,bouteille,77 rue Rembouillet,Montréal,h9n9l7,QC,Canada
Suzanne,Gaultier,suzette123,5140976515,udem@gmail.com,ordinateur,80 rue Rembouillet,Montréal,h9n6m0,QC,Canada
Fernande,Peltier,Fpeltier,5141126515,girly@gmail.com,stem,85 rue Rembouillet,Montréal,h9n0m0,QC,Canada
Paul,Gourmet,gourmet123,4389951122,chateau@gmail.com,castle,88 rue Rembouillet,Montréal,h7n1k3,QC,Canada
Théodore,Fisher,chipmunk,4381597531,lovescience@gmail.com,chemistry1,91 rue Rembouillet,Montréal,j7l0m1,QC,Canada
Cindy,Buffet,foodlover,5147891230,phonenumber@gmail.com,apple,93 rue Rembouillet,Montréal,h2n0k9,QC,Canada
Léonard,Hubert,souris88,4385514876,arcenciel@gmail.com,nuage,100 rue Rembouillet,Montréal,b8k6h1,QC,Canada
